Type,OID,OID (bin),POS (BIN),POS,Diff
O,5119,0001001111111111,0000000111010100,468,4651
O,5120,0001010000000000,0000000111010101,469,4651
O,5121,0001010000000001,0000000111010110,470,4651
O,5122,0001010000000010,0000000111010111,471,4651
O,5123,0001010000000011,0000000111011000,472,4651
O,5124,0001010000000100,0000000111011001,473,4651
O,5125,0001010000000101,0000000111011010,474,4651
O,5126,0001010000000110,0000000111011011,475,4651
O,5127,0001010000000111,0000000111011100,476,4651
O,5128,0001010000001000,0000000111011101,477,4651
O,5129,0001010000001001,0000000111011110,478,4651
O,5130,0001010000001010,0000000111011111,479,4651
O,5131,0001010000001011,0000000111100000,480,4651
O,5132,0001010000001100,0000000111100001,481,4651
O,5133,0001010000001101,0000000111100010,482,4651
O,5134,0001010000001110,0000000111100011,483,4651
O,5135,0001010000001111,0000000111100100,484,4651
O,5136,0001010000010000,0000000111100101,485,4651
O,5137,0001010000010001,0000000111100110,486,4651
O,5138,0001010000010010,0000000111100111,487,4651
O,5139,0001010000010011,0000000111101000,488,4651
O,5140,0001010000010100,0000000111101001,489,4651
O,5141,0001010000010101,0000000111101010,490,4651
O,5142,0001010000010110,0000000111101011,491,4651
O,5143,0001010000010111,0000000111101100,492,4651
O,5144,0001010000011000,0000000111101101,493,4651
O,5145,0001010000011001,0000000111101110,494,4651
O,5146,0001010000011010,0000000111101111,495,4651
O,5147,0001010000011011,0000000111110000,496,4651
O,5148,0001010000011100,0000000111110001,497,4651
O,5149,0001010000011101,0000000111110010,498,4651
O,5150,0001010000011110,0000000111110011,499,4651
O,5151,0001010000011111,0000000111110100,500,4651
O,5152,0001010000100000,0000000111110101,501,4651
O,5153,0001010000100001,0000000111110110,502,4651
O,5154,0001010000100010,0000000111110111,503,4651
O,5155,0001010000100011,0000000111111000,504,4651
O,5156,0001010000100100,0000000111111001,505,4651
O,5157,0001010000100101,0000000111111010,506,4651
O,5158,0001010000100110,0000000111111011,507,4651
O,5159,0001010000100111,0000000111111100,508,4651
O,5160,0001010000101000,0000000111111101,509,4651
O,5161,0001010000101001,0000000111111110,510,4651
O,5162,0001010000101010,0000000111111111,511,4651
O,5163,0001010000101011,0000001000000000,512,4651
O,5164,0001010000101100,0000001000000001,513,4651
O,5165,0001010000101101,0000001000000010,514,4651
O,5166,0001010000101110,0000001000000011,515,4651
O,5167,0001010000101111,0000001000000100,516,4651
O,5168,0001010000110000,0000001000000101,517,4651
O,5169,0001010000110001,0000001000000110,518,4651
O,5170,0001010000110010,0000001000000111,519,4651
